customer_id,first_name,last_name,email,city,state,signup_date,loyalty_tier,phone,is_active
C054,Mohit,Rao,mohit.rao54@gmail.com,Mumbai,Mumbai,2022-01-04,Bronze,9240466536,true
C055,Ishaan,Gupta,ishaan.gupta55@gmail.com,Ahmedabad,Ahmedabad,2023-07-19,Gold,9702269164,false
C056,Amit,Kumar,amit.kumar56@gmail.com,Jaipur,Jaipur,2022-02-06,Gold,9725464884,true
C057,Mohit,Kumar,mohit.kumar57@gmail.com,Mumbai,Mumbai,2022-11-12,Bronze,9954829815,true
C058,Aditi,Reddy,aditi.reddy58@gmail.com,Hyderabad,Hyderabad,2023-11-30,Bronze,9210373808,true
C059,Priya,Agarwal,priya.agarwal59@gmail.com,Surat,Surat,2022-06-08,Platinum,9354194771,true
C060,Shreya,Gupta,shreya.gupta60@gmail.com,Kolkata,Kolkata,2022-01-26,Bronze,9456681425,true
C061,Mohit,Mehta,mohit.mehta61@gmail.com,Chennai,Chennai,2022-06-13,Gold,9216066793,true
C062,Aditi,Bose,aditi.bose62@gmail.com,Hyderabad,Hyderabad,2022-07-24,Gold,9594246837,true
C063,Sneha,Mehta,sneha.mehta63@gmail.com,Hyderabad,Hyderabad,2022-01-25,Silver,9527849588,true
C064,Suresh,Patel,suresh.patel64@gmail.com,Chennai,Chennai,2022-12-26,Silver,9529151399,true
C065,Sneha,Malhotra,sneha.malhotra65@gmail.com,Pune,Pune,2022-01-29,Bronze,9380477683,true
C066,Ishaan,Verma,ishaan.verma66@gmail.com,Delhi,Delhi,2023-09-03,Silver,9882269302,true
C067,Mohit,Tiwari,mohit.tiwari67@gmail.com,Jaipur,Jaipur,2022-04-29,Bronze,9719106699,true
C068,Aditi,Agarwal,aditi.agarwal68@gmail.com,Mumbai,Mumbai,2023-06-17,Platinum,9678158427,true
C069,Sandeep,Joshi,sandeep.joshi69@gmail.com,Pune,Pune,2023-03-18,Bronze,9813219781,true
C070,Rajesh,Iyer,rajesh.iyer70@gmail.com,Delhi,Delhi,2022-11-04,Silver,9816070802,true
C071,Meera,Nair,meera.nair71@gmail.com,Jaipur,Jaipur,2022-05-11,Bronze,9813962536,true
C072,Rohit,Gupta,rohit.gupta72@gmail.com,Surat,Surat,2023-08-06,Bronze,9688343096,true
C073,Kavya,Nair,kavya.nair73@gmail.com,Hyderabad,Hyderabad,2023-03-17,Gold,9751397897,true
C074,Neha,Pandey,neha.pandey74@gmail.com,Ahmedabad,Ahmedabad,2023-11-23,Bronze,9608079792,true
C075,Shreya,Gupta,shreya.gupta75@gmail.com,Delhi,Delhi,2022-10-18,Silver,9779615069,true
C076,Amit,Mehta,amit.mehta76@gmail.com,Chennai,Chennai,2022-08-19,Gold,9258220114,false
C077,Gaurav,Bose,gaurav.bose77@gmail.com,Surat,Surat,2022-03-16,Silver,9776205431,true
C078,Sahil,Mishra,sahil.mishra78@gmail.com,Ahmedabad,Ahmedabad,2023-02-14,Bronze,9804436922,true
C079,Tanvi,Singh,tanvi.singh79@gmail.com,Kolkata,Kolkata,2022-08-13,Bronze,9847229579,true
C080,Aditi,Malhotra,aditi.malhotra80@gmail.com,Hyderabad,Hyderabad,2022-05-05,Silver,9960514523,true
C081,Pooja,Malhotra,pooja.malhotra81@gmail.com,Surat,Surat,2022-11-21,Platinum,9575209597,true
C082,Sandeep,Chopra,sandeep.chopra82@gmail.com,Kolkata,Kolkata,2023-07-16,Silver,9270894498,true
C083,Nikhil,Pandey,nikhil.pandey83@gmail.com,Chennai,Chennai,2022-09-11,Gold,9397760792,true
C084,Pooja,Bose,pooja.bose84@gmail.com,Hyderabad,Hyderabad,2022-10-09,Silver,9866162966,true
C085,Ishaan,Iyer,ishaan.iyer85@gmail.com,Pune,Pune,2023-07-08,Bronze,9261953189,true
C086,Sahil,Kumar,sahil.kumar86@gmail.com,Hyderabad,Hyderabad,2022-03-07,Silver,9455281184,true
C087,Mohit,Verma,mohit.verma87@gmail.com,Hyderabad,Hyderabad,2023-03-07,Bronze,9926561919,true
C088,Sahil,Sharma,sahil.sharma88@gmail.com,Surat,Surat,2023-01-25,Silver,9477698143,true
C089,Meera,Agarwal,meera.agarwal89@gmail.com,Jaipur,Jaipur,2023-07-14,Gold,9336801619,true
C090,Ishaan,Agarwal,ishaan.agarwal90@gmail.com,Ahmedabad,Ahmedabad,2022-01-30,Bronze,9818197581,true
C091,Meera,Gupta,meera.gupta91@gmail.com,Ahmedabad,Ahmedabad,2022-05-11,Platinum,9673510887,false
C092,Meera,Saxena,meera.saxena92@gmail.com,Surat,Surat,2023-11-10,Bronze,9790147183,true
C093,Suresh,Pandey,suresh.pandey93@gmail.com,Bangalore,Bangalore,2022-02-21,Bronze,9451492250,true
C094,Kiran,Iyer,kiran.iyer94@gmail.com,Kolkata,Kolkata,2022-10-12,Gold,9993271900,true
C095,Sneha,Patel,sneha.patel95@gmail.com,Ahmedabad,Ahmedabad,2022-01-20,Gold,9155926488,true
C096,Manish,Mehta,manish.mehta96@gmail.com,Delhi,Delhi,2023-10-30,Bronze,9133318206,true
C097,Divya,Sharma,divya.sharma97@gmail.com,Surat,Surat,2022-06-06,Bronze,9608482316,true
C098,Rahul,Joshi,rahul.joshi98@gmail.com,Ahmedabad,Ahmedabad,2022-09-20,Gold,9280162221,true
C099,Sandeep,Singh,sandeep.singh99@gmail.com,Bangalore,Bangalore,2022-11-15,Bronze,9127571992,true
C100,Rahul,Mishra,rahul.mishra100@gmail.com,Kolkata,Kolkata,2022-07-23,Bronze,9841541582,true
